NAME,HOMI2015,UNIC2014
Abaiara,0,0
Acarape,3,28.9
Acaraú,1,22.8
Acopiara,0,31
Aiuaba,0,0
Alcântaras,0,0
Altaneira,0,0
Alto Santo,1,31
Amontada,1,0
Antonina do Norte,0,0
Apuiarés,0,0
Aquiraz,11,79.9
Aracati,3,36.4
Aracoiaba,2,18.3
Ararendá,0,0
Araripe,1,20.6
Aratuba,0,0
Arneiroz,0,0
Assaré,1,19.8
Aurora,0,0
Baixio,0,0
Banabuiú,1,24.3
Barbalha,5,54.6
Barreira,0,45.4
Barro,0,0
Barroquinha,0,0
Baturité,3,55.6
Beberibe,4,48.8
Bela Cruz,0,14.2
Boa Viagem,2,17.3
Brejo Santo,2,10.8
Camocim,3,14.7
Campos Sales,1,72.2
Canindé,2,24
Capistrano,2,0
Caridade,0,44
Cariré,1,0
Caririaçu,2,16.5
Cariús,1,0
Carnaubal,1,0
Cascavel,4,29.2
Catarina,0,29.6
Catunda,0,0
Caucaia,42,63.5
Cedro,0,0
Chaval,0,0
Choró,0,0
Chorozinho,2,96.6
Coreaú,0,0
Crateús,4,21.4
Crato,6,54.3
Croatá,0,0
Cruz,0,19.7
Deputado Irapuan Pinheiro,0,0
Ererê,0,0
Eusébio,9,120.4
Farias Brito,0,0
Forquilha,0,21.3
Fortaleza,387,136
Fortim,0,63.3
Frecheirinha,0,0
General Sampaio,1,65.9
Graça,0,28.4
Granja,2,7.9
Granjeiro,0,0
Groaíras,0,0
Guaiúba,3,36.3
Guaraciaba do Norte,1,22.7
Guaramiranga,0,0
Hidrolândia,0,0
Horizonte,13,166.2
Ibaretama,0,0
Ibiapina,1,0
Ibicuitinga,1,0
Icapuí,0,29.8
Icó,5,22.5
Iguatu,4,29.1
Independência,1,0
Ipaporanga,0,41.7
Ipaumirim,0,0
Ipu,0,11.4
Ipueiras,0,0
Iracema,1,0
Irauçuba,2,18.6
Itaiçaba,1,0
Itaitinga,12,104.3
Itapagé,0,92.9
Itapipoca,4,0
Itapiúna,0,0
Itarema,2,0
Itatira,0,0
Jaguaretama,1,105.3
Jaguaribara,2,150.7
Jaguaribe,3,14.9
Jaguaruana,1,91.8
Jardim,0,0
Jati,0,0
Jijoca de Jericoacoara,0,0
Juazeiro do Norte,31,73
Jucás,2,19.7
Lavras da Mangabeira,0,0
Limoeiro do Norte,3,48.7
Madalena,0,0
Maracanaú,42,133.5
Maranguape,8,44.9
Marco,2,34.6
Martinópole,0,0
Massapê,4,36.3
Mauriti,2,0
Meruoca,0,0
Milagres,0,18
Milhã,0,0
Miraíma,0,0
Missão Velha,0,27.5
Mombaça,1,45.6
Monsenhor Tabosa,0,0
Morada Nova,8,56.9
Moraújo,0,0
Morrinhos,1,21
Mucambo,0,32.4
Mulungu,1,39.6
Nova Olinda,0,0
Nova Russas,0,0
Novo Oriente,3,33.1
Ocara,2,37.8
Orós,0,0
Pacajus,11,105.7
Pacatuba,12,85.6
Pacoti,0,39.1
Pacujá,0,0
Palhano,0,0
Palmácia,0,0
Paracuru,0,43.7
Paraipaba,4,29.8
Parambu,1,0
Paramoti,0,0
Pedra Branca,7,21.8
Penaforte,0,0
Pentecoste,2,64.6
Pereiro,0,0
Pindoretama,4,79.1
Piquet Carneiro,0,0
Pires Ferreira,0,0
Poranga,0,36.9
Porteiras,0,0
Potengi,0,0
Potiretama,0,0
Quiterianópolis,0,23.6
Quixadá,7,56.9
Quixelô,1,0
Quixeramobim,3,32.4
Quixeré,6,143.2
Redenção,5,106.2
Reriutaba,0,48.5
Russas,9,56.7
Saboeiro,0,29.3
Salitre,1,0
Santana do Acaraú,0,0
Santana do Cariri,0,0
Santa Quitéria,0,53.8
São Benedito,0,29.8
São Gonçalo do Amarante,7,31
São João do Jaguaribe,0,78.3
São Luís do Curu,0,0
Senador Pompeu,7,0
Senador Sá,0,0
Sobral,29,89.5
Solonópole,0,28.6
Tabuleiro do Norte,1,36.2
Tamboril,0,17.6
Tarrafas,0,52.2
Tauá,3,17.7
Tejuçuoca,0,0
Tianguá,3,31.9
Trairi,4,24.7
Tururu,0,29.4
Ubajara,1,14.9
Umari,0,0
Umirim,1,44.6
Uruburetama,1,22
Uruoca,0,0
Varjota,0,25.2
Várzea Alegre,0,13.2
Viçosa do Ceará,1,0
